time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-03 00:00:00+00:00,16,13,121.0,3.0
2023-12-04 00:00:00+00:00,7,7,,
2023-12-05 00:00:00+00:00,6,6,40.0,1.0
2023-12-06 00:00:00+00:00,8,8,14.0,1.0
2023-12-07 00:00:00+00:00,3,3,1.0,1.0
2023-12-08 00:00:00+00:00,4,4,,
2023-12-09 00:00:00+00:00,4,4,,
2023-12-10 00:00:00+00:00,6,5,,
2023-12-11 00:00:00+00:00,6,6,,
2023-12-12 00:00:00+00:00,3,3,7.0,1.0
2023-12-13 00:00:00+00:00,3,3,,
2023-12-14 00:00:00+00:00,3,3,,
2023-12-15 00:00:00+00:00,3,3,14.0,1.0
