url_path,views_total,views_unique
/tobbie/nodejs-chat-app,70,7
/tobbie/nodejs-chat-app/tree/github-repo-stats/tobbie/nodejs-chat-app,32,1
/tobbie/nodejs-chat-app/graphs/traffic,20,1
/tobbie/nodejs-chat-app/pulse,18,1
/tobbie/nodejs-chat-app/tree/github-repo-stats/tobbie/nodejs-chat-app/latest-report,18,1
/tobbie/nodejs-chat-app/activity,14,1
/tobbie/nodejs-chat-app/blob/github-repo-stats/tobbie/nodejs-chat-app/latest-report/report.html,10,1
/tobbie/nodejs-chat-app/tree/github-repo-stats,9,1
/tobbie/nodejs-chat-app/fork,5,2
/tobbie/nodejs-chat-app/tree/main/public,5,1
