time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,25,9,0,0
2026-06-15 00:00:00+00:00,27,11,0,0
2026-06-16 00:00:00+00:00,31,11,0,0
2026-06-17 00:00:00+00:00,28,10,1,1
2026-06-18 00:00:00+00:00,25,9,0,0
2026-06-19 00:00:00+00:00,20,5,0,0
2026-06-20 00:00:00+00:00,38,13,0,0
2026-06-21 00:00:00+00:00,27,8,0,0
2026-06-22 00:00:00+00:00,32,8,0,0
2026-06-23 00:00:00+00:00,34,9,0,0
2026-06-24 00:00:00+00:00,46,13,1,1
2026-06-25 00:00:00+00:00,33,10,0,0
2026-06-26 00:00:00+00:00,9,5,0,0
2026-06-27 00:00:00+00:00,12,6,1,1
